,title,description,drawback_frequency
405,Messy Divorce,Your pieces can't move from the queenside to the kingside or vice versa,2
355,Rising Water,"Every 10 turns, the water level rises one rank. You can't move pieces that are underwater and you can't move to squares that are underwater",2
24,Leading the Charge,"As long as you have a knight, you cannot move non-knights ahead of your most advanced knight",1
201,Horse Eats First,"As long as you have a knight, you can only capture with knights",1
617,Closed Book,You lose if you ever start your turn while there's an open file (one with no pawns),1
609,Flatterer,"If your opponent moves a pawn, you must move a pawn. If your opponent moves a non-pawn piece, you must move a non-pawn piece",1
463,Untitled Duck Drawback,There is a duck sleeping on D5. You can't pass through it or land on it,1
110,Covering Fire,You can only capture a piece if you could capture it two different ways,1
562,Cess,You can't move to the h file,1
529,Crenellations,Your pawns can only move to light squares,1
225,Quit Horsing Around,"If you moved a knight on your last move, you can't move a knight",1
222,Shadow Queen,Your queen can only move to dark squares,1
247,Escort Mission,"If your king can capture, it must",1
658,Stand Your Ground,Your pieces can only capture if they are attacked,1
187,Horse Tranquilizer,Your knights can't capture,1
302,Punching Down,Your pieces can't capture pieces worth more than them (anything can capture a king),1
675,Just Passing Through,You can't capture on the fifth rank,1
729,Siege,You must take at least one of your opponent's rooks by move 20 or you lose,1
35,Stay at Home Mom,Your queen can only make moves to your two home ranks,1
713,Expedition,"On move 15, you must move to F1",1
293,Edgelord,Must have at least as many pieces on the rim as your opponent,1
156,Eisoptrophobia,"Your pieces can't take pieces of the same type, e.g. your knights can't take knights",1
775,Sleepy King,Your king can only move when in check,1
31,Ooh Shiny,"If you can capture a piece in a way that doesn't expose your capturing piece to recapture, you must",1
253,Queen Disguise,"Your queen is secretly either a rook or a bishop. Once you move it like one, you can't move it like the other",1
161,Snipers,Your bishops can only capture from a distance of at least 8 (4 diagonal squares),1
